sensor,channel,baseline_mean_kPa,baseline_std_kPa,peak_deltaP_kPa
sensor_A_5750,b1_P,977.6608840092704,0.02019690127839838,0.048206245905362266
sensor_B_5850,b1_P,981.7503765864691,0.012641389500370867,0.029623413530885045
sensor_C_5950,b1_P,876.8786365447567,4.476391414856181,3.671363455243295
sensor_A_5750,b2_P,973.0706335982877,1.1707914235102768,1.1393664017123228
sensor_B_5850,b2_P,965.5158008112171,0.021517962197164623,0.03419918878284989
sensor_C_5950,b2_P,989.0238775804747,0.05703120016934078,0.06558334598685178
sensor_A_5750,b3_P,1015.4032766665005,0.0872143079268678,0.22497857232667684
sensor_B_5850,b3_P,980.6132813682307,0.1461799579318581,0.15671863176930856
sensor_C_5950,b3_P,983.470753036148,0.18243742822171183,0.15924696385195602
sensor_A_5750,b4_P,978.0869314785082,0.049872003721918516,0.10249879863647493
sensor_B_5850,b4_P,974.5914647231291,0.022402803143099174,0.058535276870884445
sensor_C_5950,b4_P,976.9615293401047,0.06379592992075375,0.16847065989531984
sensor_A_5750,b5_P,973.9490699959471,0.0559909581501692,0.15028721999135541
sensor_B_5850,b5_P,974.6051069695063,0.07778396292631287,0.17489303049364935
sensor_C_5950,b5_P,975.5875103942833,0.10374907933734884,0.2624896057167234
sensor_A_5750,b6_P,980.8379634276458,0.05991598001343795,0.2920365723541636
sensor_B_5850,b6_P,958.6015047137963,0.055888258954739124,0.13849528620369256
sensor_C_5950,b6_P,987.0479961886891,0.11310034238469545,0.13200381131082395
